0.000892061	0	0	0	0	0	0	0	0	0	0	0
0	0	0.069026549	0.538057743	0.793010753	0.76916221	0.132520325	0.708516887	0.025732032	0.174793008	0.227091633	0.074074074
0.008028546	0.685740236	0.902654867	0.942257218	1	0.97771836	0.896747967	0.915565345	0.779946761	0.872125115	0.921314741	0.877572016
0.008028546	0.965485922	1	1	0.984767025	1	0.964227642	0.970631424	0.990239574	1	1	1
0.743978591	1	0.942477876	0.90376203	0.862903226	0.877896613	1	1	1	0.933762649	0.915338645	0.858024691
0.983050847	0.892824705	0.728318584	0.658792651	0.551971326	0.513368984	0.98699187	0.986784141	0.890860692	0.7874885	0.417330677	0.04218107
1	0.554950045	0.088495575	0.05511811	0.054659498	0.042780749	0.930081301	0.957415565	0.762200532	0.251149954	0.009960159	0.005144033
0.862622658	0.031789282	0.009734513	0.065616798	0.019713262	0.02228164	0.902439024	0.953010279	0.438331854	0.026678933	0.017928287	0.010288066
0.444246209	0.008174387	0.030088496	0.002624672	0.010752688	0.011586453	0.874796748	0.917033774	0.135758651	0.078196872	0.019920319	0.007201646
0.008028546	0.012715713	0.002654867	0.004374453	0.007168459	0.006238859	0.556910569	0.75917768	0.028393966	0.004599816	0.007968127	0.011316872
